NumeroSeguidores,NumeroPostagens,@Perfil,url
373,42,arquivopublicovca,https://www.instagram.com/arquivopublicovca/
213,5,arquivogeralusp,https://www.instagram.com/arquivogeralusp/
927,144,arquivoieb,https://www.instagram.com/arquivoieb/
362,38,arquivojuri,https://www.instagram.com/arquivojuri/
3.213,719,arquivopublicoalagoas,https://www.instagram.com/arquivopublicoalagoas/
1.006,91,arquivomunicipaldecampinas,https://www.instagram.com/arquivomunicipaldecampinas/
1.763,146,arquivopublicorj,https://www.instagram.com/arquivopublicorj/
213,9,arquivocentralufpa,https://www.instagram.com/arquivocentralufpa/
1.063,337,arquivocentral.unirio,https://www.instagram.com/arquivocentral.unirio/
144,0,arquivo_central,https://www.instagram.com/arquivo_central/
"25,2mil",645,arquivopretinhobasico,https://www.instagram.com/arquivopretinhobasico/
174,0,arquivopublicolondrina,https://www.instagram.com/arquivopublicolondrina/
991,25,arquivohistoricopoa,https://www.instagram.com/arquivohistoricopoa/
6.914,125,arquivomisterio,https://www.instagram.com/arquivomisterio/
521,5,arquivoforadacaixa,https://www.instagram.com/arquivoforadacaixa/
1.071,75,arquivocentral.ufsc,https://www.instagram.com/arquivocentral.ufsc/
999,78,arquivodacuriademaceio,https://www.instagram.com/arquivodacuriademaceio/
2.471,239,arquivopublicodepernambuco,https://www.instagram.com/arquivopublicodepernambuco/
622,86,arquivopublicoitajai,https://www.instagram.com/arquivopublicoitajai/
858,21,arquivopublicodopi,https://www.instagram.com/arquivopublicodopi/
2.064,94,arquivopublicors,https://www.instagram.com/arquivopublicors/
1.110,31,arquivocentralufpb,https://www.instagram.com/arquivocentralufpb/
1.929,920,arquivoderioclaro,https://www.instagram.com/arquivoderioclaro/
1.398,154,arquivolab,https://www.instagram.com/arquivolab/
796,130,arquivotech,https://www.instagram.com/arquivotech/
135mil,1.788,arquivonacionalbrasil,https://www.instagram.com/arquivonacionalbrasil/
68,4,arquivo_ico,https://www.instagram.com/arquivo_ico/
754,10,arquivosuff,https://www.instagram.com/arquivosuff/
87,0,arquivopublico.curuca,https://www.instagram.com/arquivopublico.curuca/
1.375,53,arquivo_historico_rs,https://www.instagram.com/arquivo_historico_rs/
4.604,249,arquivopublicomg,https://www.instagram.com/arquivopublicomg/
2.103,223,arquivofdr,https://www.instagram.com/arquivofdr/
1.206,213,arquivomoderno_,https://www.instagram.com/arquivomoderno_/
1.720,38,arquivopublicoam,https://www.instagram.com/arquivopublicoam/
989,20,arquivohistorico_eba_ufrj,https://www.instagram.com/arquivohistorico_eba_ufrj/
20mil,2.841,arquivoestadosp,https://www.instagram.com/arquivoestadosp/
1.209,75,arquivologiadescomplicada,https://www.instagram.com/arquivologiadescomplicada/
4.122,207,arquivologiaconcursos,https://www.instagram.com/arquivologiaconcursos/
1.800,302,arquivologiabr,https://www.instagram.com/arquivologiabr/
208,9,arquivologiabrasil,https://www.instagram.com/arquivologiabrasil/
1.008,51,arquivologiaconcurso,https://www.instagram.com/arquivologiaconcurso/
32,1,arquivologiadigital,https://www.instagram.com/arquivologiadigital/
979,179,arquivologiauel,https://www.instagram.com/arquivologiauel/
252,0,arquivologiando,https://www.instagram.com/arquivologiando/
1.069,130,arquivologiaufsc,https://www.instagram.com/arquivologiaufsc/
293,19,arquivologiaufes,https://www.instagram.com/arquivologiaufes/
1.020,191,arquivologiafurg,https://www.instagram.com/arquivologiafurg/
802,66,arquivologiaunirio,https://www.instagram.com/arquivologiaunirio/
672,16,arquivologiaemdestaque,https://www.instagram.com/arquivologiaemdestaque/
180,18,arquivologia_python,https://www.instagram.com/arquivologia_python/
1.187,221,arquivologia_ufpb,https://www.instagram.com/arquivologia_ufpb/
200,27,arqemmovimento,https://www.instagram.com/arqemmovimento/
111,2,turmaarq2019.1,https://www.instagram.com/turmaarq2019.1/
107,3,arqmemoci,https://www.instagram.com/arqmemoci/
111,9,arquiv05,https://www.instagram.com/arquiv05/
907,33,arqcon_,https://www.instagram.com/arqcon_/
660,32,caarq_unb,https://www.instagram.com/caarq_unb/
380,34,arquivodaalegria,https://www.instagram.com/arquivodaalegria/
147,2,ufesarquivologia,https://www.instagram.com/ufesarquivologia/
0,9,brarquivologia,https://www.instagram.com/brarquivologia/
14,1,arquivologia,https://www.instagram.com/arquivologia/
51,0,arquivologiaunb,https://www.instagram.com/arquivologiaunb/
1.070,128,arqui_vou,https://www.instagram.com/arqui_vou/
18,1,arquivologia_ufam,https://www.instagram.com/arquivologia_ufam/
109,5,maisarquivologia,https://www.instagram.com/maisarquivologia/
67,2,papeldarq,https://www.instagram.com/papeldarq/
523,7,ufpbcaaarq,https://www.instagram.com/ufpbcaaarq/
1.102,145,agoraarquivologia,https://www.instagram.com/agoraarquivologia/
3.400,382,arqui_oque,https://www.instagram.com/arqui_oque/
885,88,searq.ufmg,https://www.instagram.com/searq.ufmg/
53,27,consolacoes,https://www.instagram.com/consolacoes/
88,3,cparq.arquivologia,https://www.instagram.com/cparq.arquivologia/
153,12,darquivologia,https://www.instagram.com/darquivologia/
40,7,entendendoarquivologia0,https://www.instagram.com/entendendoarquivologia0/
316,104,vaniaalvesarquivologia,https://www.instagram.com/vaniaalvesarquivologia/
50,0,arquivoconcursosonline,https://www.instagram.com/arquivoconcursosonline/
80,2,perfilarquivologia,https://www.instagram.com/perfilarquivologia/
94,22,arquivistica,https://www.instagram.com/arquivistica/
241,4,vitrinearquivistica,https://www.instagram.com/vitrinearquivistica/
181,12,uniaoarquivistica,https://www.instagram.com/uniaoarquivistica/
7,0,ajconsultoriaarquivistica,https://www.instagram.com/ajconsultoriaarquivistica/
491,1,midiarquivistica,https://www.instagram.com/midiarquivistica/
833,66,diplomaticaufpb,https://www.instagram.com/diplomaticaufpb/
335,32,pesquisasarquivisticas,https://www.instagram.com/pesquisasarquivisticas/
217,7,basededadosemarquivistica_bda,https://www.instagram.com/basededadosemarquivistica_bda/
17,2,jed.arq,https://www.instagram.com/jed.arq/
140,36,rede.arquivistica,https://www.instagram.com/rede.arquivistica/
1,0,arquivistica2714,https://www.instagram.com/arquivistica2714/
416,25,citacoesarquivisticas,https://www.instagram.com/citacoesarquivisticas/
58,23,fparquiviticas,https://www.instagram.com/fparquiviticas/
96,9,joana_consultoria_arquivistica,https://www.instagram.com/joana_consultoria_arquivistica/
86,11,ivjacro,https://www.instagram.com/ivjacro/
1,1,fp_arquivisticas,https://www.instagram.com/fp_arquivisticas/
340,190,ofwcaixas,https://www.instagram.com/ofwcaixas/
0,1,fparquivisticas,https://www.instagram.com/fparquivisticas/
