,NumeroSeguidores,NumeroPostagens,@Perfil,url
1,1.117,151,agoraarquivologia,https://www.instagram.com/agoraarquivologia/
2,7,0,ajconsultoriaarquivistica,https://www.instagram.com/ajconsultoriaarquivistica/
3,905,33,arqcon_,https://www.instagram.com/arqcon_/
4,198,27,arqemmovimento,https://www.instagram.com/arqemmovimento/
5,107,3,arqmemoci,https://www.instagram.com/arqmemoci/
6,3.396,389,arqui_oque,https://www.instagram.com/arqui_oque/
7,1.066,128,arqui_vou,https://www.instagram.com/arqui_vou/
8,110,9,arquiv05,https://www.instagram.com/arquiv05/
9,109,22,arquivistica,https://www.instagram.com/arquivistica/
10,1,0,arquivistica2714,https://www.instagram.com/arquivistica2714/
11,145,0,arquivo_central,https://www.instagram.com/arquivo_central/
12,1.458,57,arquivo_historico_rs,https://www.instagram.com/arquivo_historico_rs/
13,68,4,arquivo_ico,https://www.instagram.com/arquivo_ico/
14,1.070,75,arquivocentral.ufsc,https://www.instagram.com/arquivocentral.ufsc/
15,1.073,353,arquivocentral.unirio,https://www.instagram.com/arquivocentral.unirio/
16,226,13,arquivocentralufpa,https://www.instagram.com/arquivocentralufpa/
17,1.127,35,arquivocentralufpb,https://www.instagram.com/arquivocentralufpb/
18,1.096,67,arquivocmm,https://www.instagram.com/arquivocmm/
19,50,0,arquivoconcursosonline,https://www.instagram.com/arquivoconcursosonline/
20,382,34,arquivodaalegria,https://www.instagram.com/arquivodaalegria/
21,1.014,78,arquivodacuriademaceio,https://www.instagram.com/arquivodacuriademaceio/
22,1.951,945,arquivoderioclaro,https://www.instagram.com/arquivoderioclaro/
23,2.391,132,arquivoestadopa,https://www.instagram.com/arquivoestadopa/
24,"20,2mil",2.895,arquivoestadosp,https://www.instagram.com/arquivoestadosp/
25,99,69,arquivoevoce,https://www.instagram.com/arquivoevoce/
26,2.130,225,arquivofdr,https://www.instagram.com/arquivofdr/
27,519,5,arquivoforadacaixa,https://www.instagram.com/arquivoforadacaixa/
28,260,6,arquivogeralusp,https://www.instagram.com/arquivogeralusp/
29,1.663,163,arquivohistoricomunicipalsp,https://www.instagram.com/arquivohistoricomunicipalsp/
30,1.022,26,arquivohistoricopoa,https://www.instagram.com/arquivohistoricopoa/
31,987,156,arquivoieb,https://www.instagram.com/arquivoieb/
32,366,39,arquivojuri,https://www.instagram.com/arquivojuri/
33,1.422,154,arquivolab,https://www.instagram.com/arquivolab/
34,"52,4mil",9,arquivolaranesteruk,https://www.instagram.com/arquivolaranesteruk/
35,14,1,arquivologia,https://www.instagram.com/arquivologia/
36,177,18,arquivologia_python,https://www.instagram.com/arquivologia_python/
37,18,1,arquivologia_ufam,https://www.instagram.com/arquivologia_ufam/
38,1.212,231,arquivologia_ufpb,https://www.instagram.com/arquivologia_ufpb/
39,1.795,302,arquivologiabr,https://www.instagram.com/arquivologiabr/
40,238,9,arquivologiabrasil,https://www.instagram.com/arquivologiabrasil/
41,1.005,52,arquivologiaconcurso,https://www.instagram.com/arquivologiaconcurso/
42,4.214,223,arquivologiaconcursos,https://www.instagram.com/arquivologiaconcursos/
43,1.276,75,arquivologiadescomplicada,https://www.instagram.com/arquivologiadescomplicada/
44,32,1,arquivologiadigital,https://www.instagram.com/arquivologiadigital/
45,735,16,arquivologiaemdestaque,https://www.instagram.com/arquivologiaemdestaque/
46,1.035,198,arquivologiafurg,https://www.instagram.com/arquivologiafurg/
47,255,0,arquivologiando,https://www.instagram.com/arquivologiando/
48,1.023,212,arquivologiauel,https://www.instagram.com/arquivologiauel/
49,293,19,arquivologiaufes,https://www.instagram.com/arquivologiaufes/
50,1.080,146,arquivologiaufsc,https://www.instagram.com/arquivologiaufsc/
51,51,0,arquivologiaunb,https://www.instagram.com/arquivologiaunb/
52,802,66,arquivologiaunirio,https://www.instagram.com/arquivologiaunirio/
53,7.896,130,arquivomisterio,https://www.instagram.com/arquivomisterio/
54,1.205,213,arquivomoderno_,https://www.instagram.com/arquivomoderno_/
55,1.025,94,arquivomunicipaldecampinas,https://www.instagram.com/arquivomunicipaldecampinas/
56,136mil,1.833,arquivonacionalbrasil,https://www.instagram.com/arquivonacionalbrasil/
57,305mil,1.746,arquivooculto,https://www.instagram.com/arquivooculto/
58,"26,4mil",686,arquivopretinhobasico,https://www.instagram.com/arquivopretinhobasico/
59,89,0,arquivopublico.curuca,https://www.instagram.com/arquivopublico.curuca/
60,3.230,738,arquivopublicoalagoas,https://www.instagram.com/arquivopublicoalagoas/
61,1.802,38,arquivopublicoam,https://www.instagram.com/arquivopublicoam/
62,858,22,arquivopublicodopi,https://www.instagram.com/arquivopublicodopi/
63,622,92,arquivopublicoitajai,https://www.instagram.com/arquivopublicoitajai/
64,174,0,arquivopublicolondrina,https://www.instagram.com/arquivopublicolondrina/
65,1.813,167,arquivopublicorj,https://www.instagram.com/arquivopublicorj/
66,2.125,103,arquivopublicors,https://www.instagram.com/arquivopublicors/
67,377,43,arquivopublicovca,https://www.instagram.com/arquivopublicovca/
68,794,11,arquivosuff,https://www.instagram.com/arquivosuff/
69,800,137,arquivotech,https://www.instagram.com/arquivotech/
70,1.056,22,arquivoux,https://www.instagram.com/arquivoux/
71,232,9,basededadosemarquivistica_bda,https://www.instagram.com/basededadosemarquivistica_bda/
72,0,9,brarquivologia,https://www.instagram.com/brarquivologia/
73,718,33,caarq_unb,https://www.instagram.com/caarq_unb/
74,420,25,citacoesarquivisticas,https://www.instagram.com/citacoesarquivisticas/
75,54,27,consolacoes,https://www.instagram.com/consolacoes/
76,88,3,cparq.arquivologia,https://www.instagram.com/cparq.arquivologia/
77,153,12,darquivologia,https://www.instagram.com/darquivologia/
78,842,66,diplomaticaufpb,https://www.instagram.com/diplomaticaufpb/
79,41,7,entendendoarquivologia0,https://www.instagram.com/entendendoarquivologia0/
80,62,0,estudos.arqui,https://www.instagram.com/estudos.arqui/
81,1,1,fp_arquivisticas,https://www.instagram.com/fp_arquivisticas/
82,1,1,fparquivisticas,https://www.instagram.com/fparquivisticas/
83,58,23,fparquiviticas,https://www.instagram.com/fparquiviticas/
84,85,11,ivjacro,https://www.instagram.com/ivjacro/
85,18,2,jed.arq,https://www.instagram.com/jed.arq/
86,96,9,joana_consultoria_arquivistica,https://www.instagram.com/joana_consultoria_arquivistica/
87,107,5,maisarquivologia,https://www.instagram.com/maisarquivologia/
88,494,1,midiarquivistica,https://www.instagram.com/midiarquivistica/
89,340,195,ofwcaixas,https://www.instagram.com/ofwcaixas/
90,67,2,papeldarq,https://www.instagram.com/papeldarq/
91,83,2,perfilarquivologia,https://www.instagram.com/perfilarquivologia/
92,375,40,pesquisasarquivisticas,https://www.instagram.com/pesquisasarquivisticas/
93,138,36,rede.arquivistica,https://www.instagram.com/rede.arquivistica/
94,886,88,searq.ufmg,https://www.instagram.com/searq.ufmg/
95,112,2,turmaarq2019.1,https://www.instagram.com/turmaarq2019.1/
96,146,2,ufesarquivologia,https://www.instagram.com/ufesarquivologia/
97,526,8,ufpbcaaarq,https://www.instagram.com/ufpbcaaarq/
98,176,12,uniaoarquivistica,https://www.instagram.com/uniaoarquivistica/
99,314,106,vaniaalvesarquivologia,https://www.instagram.com/vaniaalvesarquivologia/
100,239,4,vitrinearquivistica,https://www.instagram.com/vitrinearquivistica/
