,Perfil (@),URL
1,arquiv05,https://www.instagram.com/arquiv05/
2,arqmemoci,https://www.instagram.com/arqmemoci/
3,arqcon_,https://www.instagram.com/arqcon_/
4,arquivologia,https://www.instagram.com/arquivologia/
5,caarq_unb,https://www.instagram.com/caarq_unb/
6,arquivologiaunb,https://www.instagram.com/arquivologiaunb/
7,ufesarquivologia,https://www.instagram.com/ufesarquivologia/
8,arqemmovimento,https://www.instagram.com/arqemmovimento/
9,turmaarq2019.1,https://www.instagram.com/turmaarq2019.1/
10,brarquivologia,https://www.instagram.com/brarquivologia/
11,arquivologia_ufam,https://www.instagram.com/arquivologia_ufam/
12,agoraarquivologia,https://www.instagram.com/agoraarquivologia/
13,papeldarq,https://www.instagram.com/papeldarq/
14,searq.ufmg,https://www.instagram.com/searq.ufmg/
15,arqui_oque,https://www.instagram.com/arqui_oque/
16,maisarquivologia,https://www.instagram.com/maisarquivologia/
17,ufpbcaaarq,https://www.instagram.com/ufpbcaaarq/
18,consolacoes,https://www.instagram.com/consolacoes/
19,entendendoarquivologia0,https://www.instagram.com/entendendoarquivologia0/
20,vaniaalvesarquivologia,https://www.instagram.com/vaniaalvesarquivologia/
21,darquivologia,https://www.instagram.com/darquivologia/
22,cparq.arquivologia,https://www.instagram.com/cparq.arquivologia/
23,perfilarquivologia,https://www.instagram.com/perfilarquivologia/
24,arquivoconcursosonline,https://www.instagram.com/arquivoconcursosonline/
25,arquivistica,https://www.instagram.com/arquivistica/
26,vitrinearquivistica,https://www.instagram.com/vitrinearquivistica/
27,midiarquivistica,https://www.instagram.com/midiarquivistica/
28,pesquisasarquivisticas,https://www.instagram.com/pesquisasarquivisticas/
29,diplomaticaufpb,https://www.instagram.com/diplomaticaufpb/
30,basededadosemarquivistica_bda,https://www.instagram.com/basededadosemarquivistica_bda/
31,uniaoarquivistica,https://www.instagram.com/uniaoarquivistica/
32,citacoesarquivisticas,https://www.instagram.com/citacoesarquivisticas/
33,rede.arquivistica,https://www.instagram.com/rede.arquivistica/
34,jed.arq,https://www.instagram.com/jed.arq/
35,ajconsultoriaarquivistica,https://www.instagram.com/ajconsultoriaarquivistica/
36,fparquiviticas,https://www.instagram.com/fparquiviticas/
37,arquivistica2714,https://www.instagram.com/arquivistica2714/
38,joana_consultoria_arquivistica,https://www.instagram.com/joana_consultoria_arquivistica/
39,ivjacro,https://www.instagram.com/ivjacro/
40,fp_arquivisticas,https://www.instagram.com/fp_arquivisticas/
41,ofwcaixas,https://www.instagram.com/ofwcaixas/
42,fparquivisticas,https://www.instagram.com/fparquivisticas/
43,arquivologiaemdestaque,https://www.instagram.com/arquivologiaemdestaque/
44,arquivologiaconcursos,https://www.instagram.com/arquivologiaconcursos/
45,arquivohistoricomunicipalsp,https://www.instagram.com/arquivohistoricomunicipalsp/
46,arquivologiadescomplicada,https://www.instagram.com/arquivologiadescomplicada/
47,arquivogeralusp,https://www.instagram.com/arquivogeralusp/
48,arquivopublicovca,https://www.instagram.com/arquivopublicovca/
49,arquivoforadacaixa,https://www.instagram.com/arquivoforadacaixa/
50,arquivojuri,https://www.instagram.com/arquivojuri/
51,arquivoieb,https://www.instagram.com/arquivoieb/
52,arquivopublicoalagoas,https://www.instagram.com/arquivopublicoalagoas/
53,arquivomunicipaldecampinas,https://www.instagram.com/arquivomunicipaldecampinas/
54,arquivopublicors,https://www.instagram.com/arquivopublicors/
55,arquivocentral.ufsc,https://www.instagram.com/arquivocentral.ufsc/
